sciname,iucn_sid,iucn_category,popn_trend,parent_sid,subpop_sid
Abantennarius analis,155277,LC,Unknown,NA,NA
Antennarius analis,155277,LC,Unknown,NA,NA
Ablennes hians,13486514,LC,Unknown,NA,NA
Ablennes pacificus,13486514,LC,Unknown,NA,NA
Belone hians,13486514,LC,Unknown,NA,NA
Belone maculata,13486514,LC,Unknown,NA,NA
Belone melanostigma,13486514,LC,Unknown,NA,NA
Belone schismatorhynchus,13486514,LC,Unknown,NA,NA
Mastacembelus fasciatus,13486514,LC,Unknown,NA,NA
Tylosurus caeruleofasciatus,13486514,LC,Unknown,NA,NA
Aboma etheostoma,183435,DD,Unknown,NA,NA
Gobiosoma polyporosum,183435,DD,Unknown,NA,NA
Aboma snyderi,181137,LC,Unknown,NA,NA
Acanthogobius flavimanus,181137,LC,Unknown,NA,NA
Acanthogobius jacoti,181137,LC,Unknown,NA,NA
Gobius cryptosquamis,181137,LC,Unknown,NA,NA
Gobius flavimanus,181137,LC,Unknown,NA,NA
Gobius stigmothonus,181137,LC,Unknown,NA,NA
Abralia affinis,163300,LC,Unknown,NA,NA
Abraliopsis affinis,163300,LC,Unknown,NA,NA
Abralia andamanica,163184,LC,Unknown,NA,NA
Abralia armata,163038,DD,Unknown,NA,NA
Onychoteuthis armatus,163038,DD,Unknown,NA,NA
Abralia astrolineata,163037,DD,Unknown,NA,NA
Abralia astrosticta,163302,LC,Unknown,NA,NA
Abralia dubia,163352,DD,Unknown,NA,NA
Enoploteuthis dubia,163352,DD,Unknown,NA,NA
Abralia fasciolata,163325,DD,Unknown,NA,NA
Abralia gilchristi,163235,LC,Unknown,NA,NA
Abraliopsis gilchristi,163235,LC,Unknown,NA,NA
Abralia grimpei,163030,DD,Unknown,NA,NA
Abralia heminuchalis,162984,DD,Unknown,NA,NA
Abralia marisarabica,163231,DD,Unknown,NA,NA
Abralia multihamata,163142,DD,Unknown,NA,NA
Abralia omiae,176067,DD,Unknown,NA,NA
Abralia redfieldi,163028,LC,Unknown,NA,NA
Abralia renschi,163134,DD,Unknown,NA,NA
Abralia robsoni,163024,DD,Unknown,NA,NA
Abralia siedleckyi,163157,DD,Unknown,NA,NA
Abralia similis,163274,LC,Unknown,NA,NA
Abralia spaercki,162922,DD,Unknown,NA,NA
Abralia steindachneri,163298,LC,Unknown,NA,NA
Abralia trigonura,163262,LC,Unknown,NA,NA
Abralia veranyi,163114,LC,Unknown,NA,NA
Enoploteuthis veranyi,163114,LC,Unknown,NA,NA
Abraliopsis atlantica,163316,DD,Unknown,NA,NA
Abraliopsis chuni,162951,DD,Unknown,NA,NA
Abraliopsis falco,163405,LC,Unknown,NA,NA
Abraliopsis felis,163094,LC,Unknown,NA,NA
Abraliopsis hoylei,163063,DD,Unknown,NA,NA
Enoploteuthis hoylei,163063,DD,Unknown,NA,NA
Abraliopsis lineata,163035,LC,Unknown,NA,NA
Abraliopsis morisi,163052,LC,Unknown,NA,NA
Abraliopsis pfefferi,163052,LC,Unknown,NA,NA
Onychoteuthis morisii,163052,LC,Unknown,NA,NA
Abraliopsis pacificus,162933,LC,Unknown,NA,NA
Abraliopsis tui,162982,DD,Unknown,NA,NA
Abudefduf analogus,188434,LC,Stable,NA,NA
Abudefduf taurus,188434,LC,Stable,NA,NA
Euchistodus analogus,188434,LC,Stable,NA,NA
Glyphidodon taurus,188434,LC,Stable,NA,NA
Abudefduf ascensionis,188581,LC,Stable,NA,NA
Abudefduf saxatilis,188581,LC,Stable,NA,NA
Abudefduf sexatilis,188581,LC,Stable,NA,NA
Apogon quinquevittatus,188581,LC,Stable,NA,NA
Chaetodon marginatus,188581,LC,Stable,NA,NA
Chaetodon mauritii,188581,LC,Stable,NA,NA
Chaetodon sargoides,188581,LC,Stable,NA,NA
Chaetodon saxatilis,188581,LC,Stable,NA,NA
Glyphisodon moucharra,188581,LC,Stable,NA,NA
Abudefduf concolor,183483,LC,Unknown,NA,NA
Euschistodus concolor,183483,LC,Unknown,NA,NA
Pomacentrus robustus,183483,LC,Unknown,NA,NA
Abudefduf declivifrons,183460,LC,Unknown,NA,NA
Euschistodus declivifrons,183460,LC,Unknown,NA,NA
Abudefduf flavipinnis,154920,LC,Stable,NA,NA
Chrysiptera flavipinna,154920,LC,Stable,NA,NA
Chrysiptera flavipinnis,154920,LC,Stable,NA,NA
Glyphidodontops flavipinnis,154920,LC,Stable,NA,NA
Abudefduf hoefleri,188621,DD,Unknown,NA,NA
Chromis bicolor,188621,DD,Unknown,NA,NA
Gliphydodon hoefleri,188621,DD,Unknown,NA,NA
Glyphidodon hoefleri,188621,DD,Unknown,NA,NA
Abudefduf luridus,188419,LC,Unknown,NA,NA
Glyphisodon luridus,188419,LC,Unknown,NA,NA
Abudefduf nigripinnis,183586,LC,Unknown,NA,NA
Pomacentrus analigutta,183586,LC,Unknown,NA,NA
Pomacentrus rectifraenum,183586,LC,Unknown,NA,NA
Stegastes rectifraenum,183586,LC,Unknown,NA,NA
Stegastes rectifraneum,183586,LC,Unknown,NA,NA
Abudefduf troschelii,183397,LC,Unknown,NA,NA
Glyphidodon troschelii,183397,LC,Unknown,NA,NA
Abyssoberyx levisquamosus,60469170,DD,Unknown,NA,NA
Abyssobrotula galatheae,60469175,LC,Unknown,NA,NA
Acalyptophis peronii,176756,LC,Stable,NA,NA
Acalyptus peronii,176756,LC,Stable,NA,NA
Acanthacaris caeca,170000,LC,Unknown,NA,NA
Acanthacaris tenuimana,169962,LC,Unknown,NA,NA
Acanthanectes hystrix,179021,LC,Unknown,NA,NA
Acanthanectes rufus,178914,LC,Unknown,NA,NA
Acantharctus delfini,185010,DD,Unknown,NA,NA
Scyllarus delfini,185010,DD,Unknown,NA,NA
Acantharctus ornatus,185031,LC,Unknown,NA,NA
Scyllarus ornatus,185031,LC,Unknown,NA,NA
Acantharctus posteli,185059,DD,Unknown,NA,NA
Scyllarus posteli,185059,DD,Unknown,NA,NA
Acanthastrea bowerbanki,133411,VU,Unknown,NA,NA
Acanthastrea brevis,133557,VU,Unknown,NA,NA
Acanthastrea echinata,133246,LC,Unknown,NA,NA
Acanthastrea faviaformis,133624,VU,Unknown,NA,NA
Acanthastrea hemprichii,133642,VU,Unknown,NA,NA
Acanthastrea hillae,133106,NT,Unknown,NA,NA
Acanthastrea ishigakiensis,133376,VU,Unknown,NA,NA
Acanthastrea lordhowensis,133366,NT,Unknown,NA,NA
Acanthastrea maxima,133490,NT,Unknown,NA,NA
Acanthastrea regularis,133326,VU,Unknown,NA,NA
Acanthastrea rotundoflora,133386,NT,Unknown,NA,NA
Acanthastrea subechinata,132929,NT,Unknown,NA,NA
Acanthemblemaria arborescens,46104116,LC,Stable,NA,NA
Acanthemblemaria aspera,46104116,LC,Stable,NA,NA
Paremblemaria aspera,46104116,LC,Stable,NA,NA
Paremblemaria erythrops,46104116,LC,Stable,NA,NA
Acanthemblemaria atrata,183583,VU,Unknown,NA,NA
Acanthemblemaria balanorum,183400,LC,Unknown,NA,NA
Acanthemblemaria betinensis,47141289,LC,Unknown,NA,NA
Acanthemblemaria castroi,183873,VU,Unknown,NA,NA
